Flight#:string, Date:string, Reg:string, From:string, To:string, PIC:number, Type:string, Landings:number, Aprcs:number, Comment:string, Dual:number, ActI:number, SimI:number, Sim:number, Type:1:string, Class:string, Tailwheel:string, Turbine:string
1734734809487,2024/12/19,N4242G,KPAE,KPAE,0.8,8KCAB,4,0,,0,0,0,0,8KCAB,SEL,1,0
1733986089313,2024/12/11,N4242G,KPAE,KPAE,0.9,8KCAB,3,0,,0,0,0,0,8KCAB,SEL,1,0
1733896801303,2024/12/10,N824MZ,KBFI,KBFI,1.5,AEST,1,0,"practice BVS RNAV29, Hold @ CARRO, SHN RNAV23",0,0,0,0,AEST,MEL,0,0
1733896770895,2024/12/09,N824MZ,KBFI,KBFI,0.6,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1731272413184,2024/11/10,N4242G,KPAE,KPAE,1.2,8KCAB,6,0,T&G's KBVS,0,0,0,0,8KCAB,SEL,1,0
1730935449515,2024/11/06,N4242G,KPAE,KPAE,0.8,8KCAB,5,0,post annual inspection,0,0,0,0,8KCAB,SEL,1,0
1729898100806,2024/10/25,N824MZ,KBFI,KBFI,0.8,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1729499399788,2024/10/18,N248JP,MOEKETSI,FASI,1.4,C208,1,0,,0,0,0,0,C208,SEL,0,1
1729499369405,2024/10/17,N248JP,FAPP,MOEKETSI,0.4,C208,1,0,,0,0,0,0,C208,SEL,0,1
1729499339606,2024/10/17,N248JP,FQVL,FAPP,2,C208,1,0,,0,0,0,0,C208,SEL,0,1
1728989508921,2024/10/13,N248JP,FWCM,FQVL,3,C208,1,0,"First flight into Mozambique, with Flyventure 24",0,0,0,0,C208,SEL,0,1
1728654829118,2024/10/11,N248JP,FLMF,FWCM,1.5,C208,1,0,"first flight into Malawi, to Camp Makokola",0,0,0,0,C208,SEL,0,1
1728654804910,2024/10/11,N248JP,FLAA,FLMF,1,C208,1,0,,0,0,0,0,C208,SEL,0,1
1728654756374,2024/10/09,N248JP,FLPL,FLAA,1.3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1728654709142,2024/10/07,N248JP,FLHN,FLPL,1.5,C208,1,0,FLPL = Busanga Plains,0,0,0,0,C208,SEL,0,1
1728654668431,2024/10/07,N248JP,FYWE,FLHN,3.5,C208,1,0,"Start of ""FlyVenture 24""",0,0,0,0,C208,SEL,0,1
1728654613799,2024/10/06,N248JP,FACT,FYWE,4.3,C208,1,0,Hassle with lack of SA Landing Permit,0,0,0,0,C208,SEL,0,1
1728067627660,2024/10/04,N248JP,FATP,FACT,3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1728067592984,2024/10/04,N248JP,FASI,FATP,1.5,C208,1,0,,0,0,0,0,C208,SEL,0,1
1728066783081,2024/10/03,N248JP,FASI,FASI,0.4,C208,1,0,2 x T&G,0,0,0,0,C208,SEL,0,1
1726978699884,2024/09/20,N4242G,KPAE,KPAE,0.8,8KCAB,5,0,T&G's @ AWO,0,0,0,0,8KCAB,SEL,1,0
1726551777096,2024/09/16,N824MZ,KBFI,KBFI,0.7,AEST,1,0,pratice PWT ILS-20,0,0,0,0,AEST,MEL,0,0
1726438617166,2024/09/15,N4242G,KPAE,KPAE,1.1,8KCAB,4,0,T&G's BVS,0,0,0,0,8KCAB,SEL,1,0
1723415625841,2024/08/11,N824MZ,KOMK,KBFI,1,AEST,1,1,BFI ILS-14R,0,0.3,0,0,AEST,MEL,0,0
1723415586755,2024/08/10,N824MZ,KBFI,KOMK,1,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1723238532903,2024/08/09,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's at AWO,0,0,0,0,8KCAB,SEL,1,0
1722813723270,2024/08/04,N824MZ,KPAE,KBFI,0.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1722813704269,2024/08/04,N824MZ,KBLI,KPAE,0.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1722813682839,2024/08/04,N824MZ,CYCD,KBLI,0.6,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1722813659748,2024/08/04,N824MZ,KPAE,CYCD,0.8,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1722813636637,2024/08/04,N824MZ,KBFI,KPAE,0.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1720915876563,2024/07/13,N824MZ,KCOE,KBFI,1.5,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1720445041936,2024/07/07,N824MZ,KBFI,KCOE,1.5,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1719681075916,2024/06/29,N4242G,KPAE,KPAE,0.8,8KCAB,6,0,T&G's at AWO,0,0,0,0,8KCAB,SEL,1,0
1719102997332,2024/06/22,N824MZ,KBVS,KBFI,0.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1719102973205,2024/06/22,N824MZ,KBLI,KBVS,0.3,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1719102916007,2024/06/22,N824MZ,KBFI,CYYJ,0.8,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
0,2024/06/22,N824MZ,CYYJ,KBLI,0.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1717786178065,2024/06/08,N248JP,FALA,FASI,0.5,C208,1,0,,0,0,0,0,C208,SEL,0,1
1717786145442,2024/06/08,N248JP,FYWE,FALA,4,C208,1,0,,0,0,0,0,C208,SEL,0,1
1717786118649,2024/06/07,N248JP,FYWO,FYWE,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
1717786082945,2024/06/05,N248JP,FYWE,FYWO,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
0,2024/06/05,N248JP,FYBM,FYWE,1,C208,1,0,,0,0,0,0,C208,SEL,0,1
1717786010506,2024/06/04,N248JP,FYWE,FYBM,1,C208,1,0,,0,0,0,0,C208,SEL,0,1
1717785982410,2024/06/04,N248JP,FYSO,FYWE,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
1717785942595,2024/06/01,N248JP,FYWE,FYSO,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
1716437761694,2024/05/22,N4242G,KPAE,KPAE,1.2,8KCAB,9,0,T&G's at AWO,0,0,0,0,8KCAB,SEL,1,0
1716264019801,2024/05/20,N4242G,KPAE,KPAE,1.3,8KCAB,7,0,"T&G's at BVS, AWO",0,0,0,0,8KCAB,SEL,1,0
1715744404391,2024/05/14,N824MZ,KCOE,KBFI,1.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1715744363372,2024/05/14,N824MZ,KCOE,KCOE,1,AEST,1,2,"IPC with Hans Dyroy, DEW RNAV-34, SZT LOC-A",0,0,0,0,AEST,MEL,0,0
1715744100758,2024/05/14,N824MZ,KBFI,KCOE,1.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1714693818691,2024/05/02,N4242G,0S9,KPAE,0.4,8KCAB,1,0,,0,0,0,0,8KCAB,SEL,1,0
1714693766044,2024/05/02,N4242G,KPAE,0S9,0.7,8KCAB,5,0,"Slow flight, Turns, Stall, T&G's, $100 Burger",0,0,0,0,8KCAB,SEL,1,0
1714605167191,2024/05/01,N824MZ,KBFI,KBFI,1,AEST,1,0,"Practice 2 x PWT ILS20, Hold @ CARRO",0,0,0,0,AEST,MEL,0,0
1713877028423,2024/04/22,N4242G,KORS,KPAE,0.7,8KCAB,4,0,T&G's at BVS,0,0,0,0,8KCAB,SEL,1,0
1713876929521,2024/04/22,N4242G,KPAE,KORS,1.3,8KCAB,4,0,T&G's at 0S9,0,0,0,0,8KCAB,SEL,1,0
1713642274333,2024/04/18,N4242G,KPAE,KPAE,0.8,8KCAB,1,0,refuel at AWO,0,0,0,0,8KCAB,SEL,1,0
1713642224766,2024/04/17,N824MZ,KBFI,KBFI,1.3,AEST,1,0,Practice 2x PWT ILS-20 and Hold @ CARRO,0,0,0,0,AEST,MEL,0,0
1711772190777,2024/03/29,N824MZ,KBFI,KBFI,1,AEST,2,0,refuel @ BVS,0,0,0,0,AEST,MEL,0,0
1708807150749,2024/02/23,N4242G,KPAE,KPAE,1,8KCAB,5,0,T&Gs at AWO,0,0,0,0,8KCAB,SEL,1,0
1707386348868,2024/02/08,N248JP,FYSO,FYWE,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
1707317994286,2024/02/07,N248JP,FYWO,FYSO,1.4,C208,1,0,,0,0,0,0,C208,SEL,0,1
1707317973783,2024/02/05,N248JP,FYWE,FYWO,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
1707317937838,2024/02/05,N248JP,FAPP,FYWE,4,C208,1,0,,0,0,0,0,C208,SEL,0,1
1707317914262,2024/02/05,N248JP,FAPI,FAPP,0.2,C208,1,0,,0,0,0,0,C208,SEL,0,1
1707317887087,2024/02/04,N248JP,MOOKETSI,FAPI,0.5,C208,1,0,,0,0,0,0,C208,SEL,0,1
1707317850783,2024/02/02,N248JP,FASI,MOOKETSI,1.2,C208,1,0,,0,0,0,0,C208,SEL,0,1
1707317815129,2024/02/02,N248JP,FASI,FASI,0.4,C208,2,0,Check ride with J. van Zyl,0,0,0,0,C208,SEL,0,1
1705466486164,2024/01/16,N824MZ,KBVS,KBFI,0.9,AEST,1,0,"PWT ILS-20, Hold at CARRO",0,0,0,0,AEST,MEL,0,0
1705466430460,2024/01/16,N824MZ,KBFI,KBVS,0.6,AEST,1,0,BVS RNAV-29,0,0,0,0,AEST,MEL,0,0
1705211714449,2024/01/13,N824MZ,KCOE,KBFI,1.4,AEST,1,0,Post Annual Inspection,0,0,0,0,AEST,MEL,0,0
1704074459801,2023/12/31,N4242G,KPAE,KPAE,1.3,8KCAB,5,0,"T&G's at BVS, Steep turns, slow flight",0,0,0,0,8KCAB,SEL,1,0
1703122542297,2023/12/20,N4242G,KPAE,KPAE,1,8KCAB,5,0,BVS,0,0,0,0,8KCAB,SEL,1,0
1701445593085,2023/11/20,N4242G,KPAE,KPAE,1.2,8KCAB,1,0,"T&G's at OS9, AWO",0,0,0,0,8KCAB,SEL,1,0
1700496349401,2023/11/17,N4242G,KBVS,KPAE,0.5,8KCAB,4,0,AWO,0,0,0,0,8KCAB,SEL,1,0
1700496323225,2023/11/17,N4242G,KPAE,KBVS,1,8KCAB,4,0,OS9,0,0,0,0,8KCAB,SEL,1,0
1700496281882,2023/11/15,N4242G,KPAE,KPAE,1,8KCAB,5,0,AWO,0,0,0,0,8KCAB,SEL,1,0
1698545652990,2023/10/28,N824MZ,KCOE,KGEG,0.3,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1698545608558,2023/10/28,N824MZ,KBFI,KCOE,1.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1697338630616,2023/10/14,N824MZ,KBVS,KBFI,0.8,AEST,1,0,SIM PWT ILS-20,0,0,0,0,AEST,MEL,0,0
1697338579154,2023/10/14,N824MZ,KBFI,KBVS,0.4,AEST,1,0,Sim BVS RNAV-29,0,0,0,0,AEST,MEL,0,0
1696206723259,2023/10/01,N4242G,KPAE,KPAE,1.5,8KCAB,6,0,"T&G's at OS9, KBVS",0,0,0,0,8KCAB,SEL,1,0
1696112364300,2023/09/29,N824MZ,KBFI,KBFI,1.5,AEST,1,0,"Practice PWT ILS-20, TIW ILS-17, HQM ILS-25, SHN RNAV-05",0,0,0,0,AEST,MEL,0,0
1695598912323,2023/09/23,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's at AWO,0,0,0,0,8KCAB,SEL,1,0
1695599070706,2023/09/22,N824MZ,KBVS,KPAE,1,AEST,1,0,"Practice CML ILS-08, check ILS/GS",0,0,0,0,AEST,MEL,0,0
1695599020987,2023/09/22,N824MZ,KBFI,KBVS,0.6,AEST,1,0,Practice BVS RNAV-29,0,0,0,0,AEST,MEL,0,0
1691546685670,2023/08/02,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's and fuel at AWO,0,0,0,0,8KCAB,SEL,1,0
1690140393366,2023/07/22,N824MZ,KBFI,KBFI,1.5,AEST,3,0,"return to BFI for weather, then to FHR",0,0,0,0,AEST,MEL,0,0
1689695481555,2023/07/18,N248JP,FALA,FASI,0.5,C208,1,0,,0,0,0,0,C208,SEL,0,1
1689695443703,2023/07/18,N248JP,FYWE,FALA,4,C208,1,0,,0,0,0,0,C208,SEL,0,1
1689695423117,2023/07/17,N248JP,FYSO,FYWE,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1689490947838,2023/07/15,N248JP,FYSM,FYSO,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1689490889218,2023/07/15,N248JP,FYEF,FYSM,2.4,C208,1,0,,0,0,0,0,C208,SEL,0,1
1689256555354,2023/07/12,N248JP,FYMO,FYEF,1.7,C208,1,0,Epupa Falls,0,0,0,0,C208,SEL,0,1
1689256506660,2023/07/09,N248JP,FYWO,FYMO,0.8,C208,1,0,Mokuti,0,0,0,0,C208,SEL,0,1
1688830402824,2023/07/06,N248JP,FYWE,FYWO,0.8,C208,1,0,Woltemade,0,0,0,0,C208,SEL,0,1
0,2023/07/03,N248JP,FYSO,FYWE,0.8,C208,0,0,,0,0,0,0,C208,SEL,0,1
1688830345505,2023/07/02,N248JP,FWYE,FYSO,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1686933486979,2023/06/16,N4242G,KPAE,KPAE,1.4,8KCAB,2,0,land at 3W5 - Concrete,0,0,0,0,8KCAB,SEL,1,0
1686075736112,2023/06/04,N824MZ,KBFI,KBFI,2,AEST,1,0,"PWT ILS-20, CLM RNAV-08, HQM RNAV-06, SHN RNAV-05",0,0,0,0,AEST,MEL,0,0
0,2023/06/03,N4242G,KPAE,KPAE,1,8KCAB,3,0,,0,0,0,0,8KCAB,SEL,1,0
1685477876642,2023/05/26,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's at 0S9,0,0,0,0,8KCAB,SEL,1,0
1683072272386,2023/05/02,N4242G,KPAE,KPAE,1.4,8KCAB,7,0,"T&Gs at 0S9, Jeff Co",0,0,0,0,8KCAB,SEL,1,0
1682833500329,2023/04/29,N824MZ,KBLI,KBFI,0.7,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1682833475705,2023/04/29,N824MZ,CYYJ,KBLI,0.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1682833453825,2023/04/29,N824MZ,KBFI,CYYJ,0.7,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1682716708999,2023/04/27,N824MZ,KCOE,KBFI,1.3,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1682716689655,2023/04/27,N824MZ,KCOE,KCOE,1,AEST,1,0,IPC with Hans Dyroy,0,0,0,0,AEST,MEL,0,0
1682716656921,2023/04/27,N824MZ,KBFI,KCOE,1.3,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1682685072054,2023/04/26,N4242G,KPAE,KPAE,0.9,8KCAB,1,0,land at Harvey,0,0,0,0,8KCAB,SEL,1,0
1682052295673,2023/04/20,N824MZ,KBFI,KBFI,1.4,AEST,1,0,"practice BVS 29-RNAV, PWT 20-ILS",0,0,0,0,AEST,MEL,0,0
1681768985460,2023/04/17,N4242G,KPAE,KAPE,0.8,8KCAB,5,0,AWO,0,0,0,0,8KCAB,SEL,1,0
1681768933989,2023/04/14,N824MZ,KBFI,KBFI,0.8,AEST,1,0,land at PAE,0,0,0,0,AEST,MEL,0,0
1678245527457,2023/03/07,N4242G,KPAE,KPAE,1,8KCAB,5,0,refuel at OS9,0,0,0,0,8KCAB,SEL,1,0
1676675403146,2023/02/15,N824MZ,KBFI,KBFI,0.5,AEST,1,0,with Chounie & Rhys,0,0,0,0,AEST,MEL,0,0
1674934566701,2023/01/28,N248JP,FYWO,FYWE,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1674821863645,2023/01/26,N248JP,FYWE,FYWO,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1674821835031,2023/01/26,N248JP,FYSO,FYWE,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1674504997434,2023/01/23,N248JP,FYWE,FYSO,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1674389988304,2023/01/22,N248JP,FACT,FYWE,4.5,C208,1,0,,0,0,0,0,C208,SEL,0,1
1674159642623,2023/01/18,N248JP,FATP,FACT,3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1674159607639,2023/01/18,N248JP,FASI,FATP,1.2,C208,1,0,,0,0,0,0,C208,SEL,0,1
1674159548272,2023/01/17,N248JP,FASI,FASI,0.7,C208,4,0,Annual Trg with Johan van Zyl,0,0,0,0,C208,SEL,0,1
1674159416904,2023/01/04,N824MZ,KCOE,KBFI,1.4,AEST,1,0,annual inspection,0,0,0,0,AEST,MEL,0,0
1667517410612,2022/11/03,N824MZ,KBOI,KCOE,1.5,AEST,1,1,"COE ILS-06, dropped off for annual insp.",0,0.5,0,0,AEST,MEL,0,0
1667269511453,2022/10/31,N824MZ,KDVT,KBOI,3,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1667269472461,2022/10/31,N824MZ,KFLG,KDVT,0.6,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
0,2022/10/20,N824MZ,KDVT,KFLG,0.6,AEST,0,0,,0,0,0,0,AEST,MEL,0,0
1667269397286,2022/10/19,N824MZ,eko,dvt,2.5,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1666230721921,2022/10/19,N824MZ,KBFI,KEKO,2.5,AEST,1,0,"IFR, wiggled wires at EKO to restart left engine",0,0,0,0,AEST,MEL,0,0
0,2022/10/19,N824MZ,KEKO,KDVT,2.5,AEST,0,0,,0,0,0,0,AEST,MEL,0,0
1665701223786,2022/10/12,N4242G,OS9,KPAE,0.4,8KCAB,1,0,,0,0,0,0,8KCAB,SEL,1,0
1665701166731,2022/10/12,N4242G,KPAE,OS9,0.6,8KCAB,4,0,"T&G's at OS9, refuel",0,0,0,0,8KCAB,SEL,1,0
1665701282081,2022/10/09,N4242G,OS9,KPAE,0.4,8KCAB,1,0,new fuel tank & annual at Port Townsend Museum,0,0,0,0,8KCAB,SEL,1,0
1664081016883,2022/09/24,N824MZ,KBFI,KBFI,1,AEST,1,0,"practice PWT ILS-20 , Hold at Caro",0,0,0,0,AEST,MEL,0,0
1660417678524,2022/08/13,N4242G,KPAE,OS9,0.5,8KCAB,1,0,,0,0,0,0,8KCAB,SEL,1,0
1659414594997,2022/08/01,N824MZ,KHLN,KBFI,2.2,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1659414559028,2022/07/31,N824MZ,KRAP,KHLN,2.1,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1659414511596,2022/07/31,N824MZ,KRST,KRAP,2.4,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
