Date,Reg,From,To,PIC:number,Type,Landings:number,Aprcs:number,Comment,Dual:number,ActI:number,SimI:number,Sim:number,
7/26/2025,N824MZ,KBFI,KBFI,1,AEST,2,0,"PWT ILS20 AutoP, Stop at PAE, PWT ILS20 HandF",0,0,0,0,0
7/16/2025,N4242G,KPAE,KPAE,1,8KCAB,1,0,"stop at BVS, steep turns",0,0,0,0,0
7/14/2025,N4242G,KPAE,KAPE,0.5,8KCAB,1,0,flight with Rhys,0,0,0,0,0
6/29/2025,N824MZ,KSTS,KBFI,2.5,AEST,1,0,,0,0,0,0,0
6/28/2025,N824MZ,KBFI,KSTS,2.5,AEST,1,0,"IFR to Santa Rosa, Bret's B'Day",0,0.1,0,0,0
6/8/2025,N4242G,KPAE,KPAE,1,8KCAB,2,0,stop and refuel at BVS. Bakery closed!,0,0,0,0,0
6/6/2025,N4242G,KPAE,KPAE,0.8,8KCAB,2,0,"stop at BVS, checked out Sentry Plus w. iPAD",0,0,0,0,0
5/30/2025,N4242G,KPAE,KPAE,1,8KCAB,5,0,stop at BVS for a Cream Puff!,0,0,0,0,0
5/22/2025,N4242G,KPAE,KPAE,1.3,8KCAB,1,0,"S&G at 3W5, Steep Turns, Slow flight, Barrel rolls",0,0,0,0,0
5/10/2025,N248JP,FASI,FASI,1.2,C208,1,0,"Annual training w. J. van Zyl. Land at FAGM, The Coves",0,0,0,0,0
5/9/2025,N248JP,FACT,FASI,4.2,C208,1,0,"IFR out of FACT, lots of lessons on how to file via FF",0,0.4,0,0,0
5/7/2025,N248JP,FYWE,FACT,4.2,C208,1,0,"flight plan issues, overfly Hakkiesdoorn",0,0,0,0,0
5/7/2025,N248JP,FYSO,FYWE,0.8,C208,1,0,,0,0,0,0,0
5/4/2025,N248JP,FYWE,FYSO,0.7,C208,1,0,,0,0,0,0,0
5/4/2025,N248JP,FYAS,FYWE,1.5,C208,1,0,,0,0,0,0,0
5/3/2025,N248JP,FYLZ,FYAS,0.7,C208,1,0,,0,0,0,0,0
5/1/2025,N248JP,FYOG,FYLZ,1,C208,1,0,low level along the coast,0,0,0,0,0
4/27/2025,N248JP,FY1F,FYOG,1,C208,1,0,followed orange river,0,0,0,0,0
4/25/2025,N248JP,FYWE,FY1F,2.3,C208,1,0,Dest. Hakkiesdoorn,0,0,0,0,0
4/9/2025,N4242G,pae,pae,0.9,8KCAB,1,0,coffee and call at KBVS,0,0,0,0,0
4/5/2025,N824MZ,KBFI,KBFI,1.2,AEST,1,0,"BVS-RNAV29, stop at BVS",0,0,0,0,0
4/1/2025,N4242G,KPAE,KPAE,1.3,8KCAB,2,0,to/from KSHN,0,0,0,0,0
2/27/2025,N4242G,KPAE,KPAE,1.2,8KCAB,7,0,"lunch at KBVS, T&G's at AWO, Stall, Slow, Steep Turns",0,0,0,0,0
2/12/2025,N4242G,pae,pae,1.5,8KCAB,2,0,"beautiful views of Baker, stop at KBVS",0,0,0,0,0
1/23/2025,N4242G,KPAE,KPAE,1.6,8KCAB,2,0,stop at 3W5,0,0,0,0,0
1/6/2025,N824MZ,KBFI,KCOE,1.4,AEST,1,1,COE RNaV-06,0,0.2,0,0,0
1/1/2025,N4242G,KPAE,KPAE,0.8,8KCAB,1,0,Rhys onboard!,0,0,0,0,0
12/31/2024,N824MZ,KBFI,KBFI,1,AEST,1,0,"practice PWT ILS-20, Hold at Carro",0,0,0,0,0
12/19/2024,N4242G,KPAE,KPAE,0.8,8KCAB,4,0,,0,0,0,0,0
12/11/2024,N4242G,KPAE,KPAE,0.9,8KCAB,3,0,,0,0,0,0,0
12/10/2024,N824MZ,KBFI,KBFI,1.5,AEST,1,0,"practice BVS RNAV29, Hold @ CARRO, SHN RNAV23",0,0,0,0,0
12/9/2024,N824MZ,KBFI,KBFI,0.6,AEST,1,0,,0,0,0,0,0
11/10/2024,N4242G,KPAE,KPAE,1.2,8KCAB,6,0,T&G's KBVS,0,0,0,0,0
11/6/2024,N4242G,KPAE,KPAE,0.8,8KCAB,5,0,post annual inspection,0,0,0,0,0
10/25/2024,N824MZ,KBFI,KBFI,0.8,AEST,1,0,,0,0,0,0,0
10/18/2024,N248JP,MOEKETSI,FASI,1.4,C208,1,0,,0,0,0,0,0
10/17/2024,N248JP,FAPP,MOEKETSI,0.4,C208,1,0,,0,0,0,0,0
10/17/2024,N248JP,FQVL,FAPP,2,C208,1,0,,0,0,0,0,0
10/13/2024,N248JP,FWCM,FQVL,3,C208,1,0,"First flight into Mozambique, with Flyventure 24",0,0,0,0,0
10/11/2024,N248JP,FLMF,FWCM,1.5,C208,1,0,"first flight into Malawi, to Camp Makokola",0,0,0,0,0
10/11/2024,N248JP,FLAA,FLMF,1,C208,1,0,,0,0,0,0,0
10/9/2024,N248JP,FLPL,FLAA,1.3,C208,1,0,,0,0,0,0,0
10/7/2024,N248JP,FLHN,FLPL,1.5,C208,1,0,FLPL = Busanga Plains,0,0,0,0,0
10/7/2024,N248JP,FYWE,FLHN,3.5,C208,1,0,"Start of ""FlyVenture 24""",0,0,0,0,0
10/6/2024,N248JP,FACT,FYWE,4.3,C208,1,0,Hassle with lack of SA Landing Permit,0,0,0,0,0
10/4/2024,N248JP,FATP,FACT,3,C208,1,0,,0,0,0,0,0
10/4/2024,N248JP,FASI,FATP,1.5,C208,1,0,,0,0,0,0,0
10/3/2024,N248JP,FASI,FASI,0.4,C208,1,0,2 x T&G,0,0,0,0,0
9/20/2024,N4242G,KPAE,KPAE,0.8,8KCAB,5,0,T&G's @ AWO,0,0,0,0,0
9/16/2024,N824MZ,KBFI,KBFI,0.7,AEST,1,0,pratice PWT ILS-20,0,0,0,0,0
9/15/2024,N4242G,KPAE,KPAE,1.1,8KCAB,4,0,T&G's BVS,0,0,0,0,0
8/11/2024,N824MZ,KOMK,KBFI,1,AEST,1,1,BFI ILS-14R,0,0.3,0,0,0
8/10/2024,N824MZ,KBFI,KOMK,1,AEST,1,0,,0,0,0,0,0
8/9/2024,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's at AWO,0,0,0,0,0
8/4/2024,N824MZ,KPAE,KBFI,0.4,AEST,1,0,,0,0,0,0,0
8/4/2024,N824MZ,KBLI,KPAE,0.4,AEST,1,0,,0,0,0,0,0
8/4/2024,N824MZ,CYCD,KBLI,0.6,AEST,1,0,,0,0,0,0,0
8/4/2024,N824MZ,KPAE,CYCD,0.8,AEST,1,0,,0,0,0,0,0
8/4/2024,N824MZ,KBFI,KPAE,0.4,AEST,1,0,,0,0,0,0,0
7/13/2024,N824MZ,KCOE,KBFI,1.5,AEST,1,0,,0,0,0,0,0
7/7/2024,N824MZ,KBFI,KCOE,1.5,AEST,1,0,,0,0,0,0,0
6/29/2024,N4242G,KPAE,KPAE,0.8,8KCAB,6,0,T&G's at AWO,0,0,0,0,0
6/22/2024,N824MZ,KBVS,KBFI,0.4,AEST,1,0,,0,0,0,0,0
6/22/2024,N824MZ,KBLI,KBVS,0.3,AEST,1,0,,0,0,0,0,0
6/22/2024,N824MZ,KBFI,CYYJ,0.8,AEST,1,0,,0,0,0,0,0
6/22/2024,N824MZ,CYYJ,KBLI,0.4,AEST,1,0,,0,0,0,0,0
6/8/2024,N248JP,FALA,FASI,0.5,C208,1,0,,0,0,0,0,0
6/8/2024,N248JP,FYWE,FALA,4,C208,1,0,,0,0,0,0,0
6/7/2024,N248JP,FYWO,FYWE,0.7,C208,1,0,,0,0,0,0,0
6/5/2024,N248JP,FYWE,FYWO,0.7,C208,1,0,,0,0,0,0,0
6/5/2024,N248JP,FYBM,FYWE,1,C208,1,0,,0,0,0,0,0
6/4/2024,N248JP,FYWE,FYBM,1,C208,1,0,,0,0,0,0,0
6/4/2024,N248JP,FYSO,FYWE,0.7,C208,1,0,,0,0,0,0,0
6/1/2024,N248JP,FYWE,FYSO,0.7,C208,1,0,,0,0,0,0,0
5/22/2024,N4242G,KPAE,KPAE,1.2,8KCAB,9,0,T&G's at AWO,0,0,0,0,0
5/20/2024,N4242G,KPAE,KPAE,1.3,8KCAB,7,0,"T&G's at BVS, AWO",0,0,0,0,0
5/14/2024,N824MZ,KCOE,KBFI,1.4,AEST,1,0,,0,0,0,0,0
5/14/2024,N824MZ,KCOE,KCOE,1,AEST,1,2,"IPC with Hans Dyroy, DEW RNAV-34, SZT LOC-A",0,0,0,0,0
5/14/2024,N824MZ,KBFI,KCOE,1.4,AEST,1,0,,0,0,0,0,0
5/2/2024,N4242G,0S9,KPAE,0.4,8KCAB,1,0,,0,0,0,0,0
5/2/2024,N4242G,KPAE,0S9,0.7,8KCAB,5,0,"Slow flight, Turns, Stall, T&G's, $100 Burger",0,0,0,0,0
5/1/2024,N824MZ,KBFI,KBFI,1,AEST,1,0,"Practice 2 x PWT ILS20, Hold @ CARRO",0,0,0,0,0
4/22/2024,N4242G,KORS,KPAE,0.7,8KCAB,4,0,T&G's at BVS,0,0,0,0,0
4/22/2024,N4242G,KPAE,KORS,1.3,8KCAB,4,0,T&G's at 0S9,0,0,0,0,0
4/18/2024,N4242G,KPAE,KPAE,0.8,8KCAB,1,0,refuel at AWO,0,0,0,0,0
4/17/2024,N824MZ,KBFI,KBFI,1.3,AEST,1,0,Practice 2x PWT ILS-20 and Hold @ CARRO,0,0,0,0,0
3/29/2024,N824MZ,KBFI,KBFI,1,AEST,2,0,refuel @ BVS,0,0,0,0,0
2/23/2024,N4242G,KPAE,KPAE,1,8KCAB,5,0,T&Gs at AWO,0,0,0,0,0
2/8/2024,N248JP,FYSO,FYWE,0.7,C208,1,0,,0,0,0,0,0
2/7/2024,N248JP,FYWO,FYSO,1.4,C208,1,0,,0,0,0,0,0
2/5/2024,N248JP,FYWE,FYWO,0.7,C208,1,0,,0,0,0,0,0
2/5/2024,N248JP,FAPP,FYWE,4,C208,1,0,,0,0,0,0,0
2/5/2024,N248JP,FAPI,FAPP,0.2,C208,1,0,,0,0,0,0,0
2/4/2024,N248JP,MOOKETSI,FAPI,0.5,C208,1,0,,0,0,0,0,0
2/2/2024,N248JP,FASI,MOOKETSI,1.2,C208,1,0,,0,0,0,0,0
2/2/2024,N248JP,FASI,FASI,0.4,C208,2,0,Check ride with J. van Zyl,0,0,0,0,0
1/16/2024,N824MZ,KBVS,KBFI,0.9,AEST,1,0,"PWT ILS-20, Hold at CARRO",0,0,0,0,0
1/16/2024,N824MZ,KBFI,KBVS,0.6,AEST,1,0,BVS RNAV-29,0,0,0,0,0
1/13/2024,N824MZ,KCOE,KBFI,1.4,AEST,1,0,Post Annual Inspection,0,0,0,0,0
12/31/2023,N4242G,KPAE,KPAE,1.3,8KCAB,5,0,"T&G's at BVS, Steep turns, slow flight",0,0,0,0,0
12/20/2023,N4242G,KPAE,KPAE,1,8KCAB,5,0,BVS,0,0,0,0,0
11/20/2023,N4242G,KPAE,KPAE,1.2,8KCAB,1,0,"T&G's at OS9, AWO",0,0,0,0,0
11/17/2023,N4242G,KBVS,KPAE,0.5,8KCAB,4,0,AWO,0,0,0,0,0
11/17/2023,N4242G,KPAE,KBVS,1,8KCAB,4,0,OS9,0,0,0,0,0
11/15/2023,N4242G,KPAE,KPAE,1,8KCAB,5,0,AWO,0,0,0,0,0
10/28/2023,N824MZ,KCOE,KGEG,0.3,AEST,1,0,,0,0,0,0,0
10/28/2023,N824MZ,KBFI,KCOE,1.4,AEST,1,0,,0,0,0,0,0
10/14/2023,N824MZ,KBVS,KBFI,0.8,AEST,1,0,SIM PWT ILS-20,0,0,0,0,0
10/14/2023,N824MZ,KBFI,KBVS,0.4,AEST,1,0,Sim BVS RNAV-29,0,0,0,0,0
10/1/2023,N4242G,KPAE,KPAE,1.5,8KCAB,6,0,"T&G's at OS9, KBVS",0,0,0,0,0
9/29/2023,N824MZ,KBFI,KBFI,1.5,AEST,1,0,"Practice PWT ILS-20, TIW ILS-17, HQM ILS-25, SHN RNAV-05",0,0,0,0,0
9/23/2023,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's at AWO,0,0,0,0,0
9/22/2023,N824MZ,KBVS,KPAE,1,AEST,1,0,"Practice CML ILS-08, check ILS/GS",0,0,0,0,0
9/22/2023,N824MZ,KBFI,KBVS,0.6,AEST,1,0,Practice BVS RNAV-29,0,0,0,0,0
8/2/2023,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's and fuel at AWO,0,0,0,0,0
7/22/2023,N824MZ,KBFI,KBFI,1.5,AEST,3,0,"return to BFI for weather, then to FHR",0,0,0,0,0
7/18/2023,N248JP,FALA,FASI,0.5,C208,1,0,,0,0,0,0,0
7/18/2023,N248JP,FYWE,FALA,4,C208,1,0,,0,0,0,0,0
7/17/2023,N248JP,FYSO,FYWE,0.8,C208,1,0,,0,0,0,0,0
7/15/2023,N248JP,FYSM,FYSO,0.8,C208,1,0,,0,0,0,0,0
7/15/2023,N248JP,FYEF,FYSM,2.4,C208,1,0,,0,0,0,0,0
7/12/2023,N248JP,FYMO,FYEF,1.7,C208,1,0,Epupa Falls,0,0,0,0,0
7/9/2023,N248JP,FYWO,FYMO,0.8,C208,1,0,Mokuti,0,0,0,0,0
7/6/2023,N248JP,FYWE,FYWO,0.8,C208,1,0,Woltemade,0,0,0,0,0
7/3/2023,N248JP,FYSO,FYWE,0.8,C208,0,0,,0,0,0,0,0
7/2/2023,N248JP,FWYE,FYSO,0.8,C208,1,0,,0,0,0,0,0
6/16/2023,N4242G,KPAE,KPAE,1.4,8KCAB,2,0,land at 3W5 - Concrete,0,0,0,0,0
6/4/2023,N824MZ,KBFI,KBFI,2,AEST,1,0,"PWT ILS-20, CLM RNAV-08, HQM RNAV-06, SHN RNAV-05",0,0,0,0,0
6/3/2023,N4242G,KPAE,KPAE,1,8KCAB,3,0,,0,0,0,0,0
5/26/2023,N4242G,KPAE,KPAE,1,8KCAB,6,0,T&G's at 0S9,0,0,0,0,0
5/2/2023,N4242G,KPAE,KPAE,1.4,8KCAB,7,0,"T&Gs at 0S9, Jeff Co",0,0,0,0,0
4/29/2023,N824MZ,KBLI,KBFI,0.7,AEST,1,0,,0,0,0,0,0
4/29/2023,N824MZ,CYYJ,KBLI,0.4,AEST,1,0,,0,0,0,0,0
4/29/2023,N824MZ,KBFI,CYYJ,0.7,AEST,1,0,,0,0,0,0,0
4/27/2023,N824MZ,KCOE,KBFI,1.3,AEST,1,0,,0,0,0,0,0
4/27/2023,N824MZ,KCOE,KCOE,1,AEST,1,0,IPC with Hans Dyroy,0,0,0,0,0
4/27/2023,N824MZ,KBFI,KCOE,1.3,AEST,1,0,,0,0,0,0,0
4/26/2023,N4242G,KPAE,KPAE,0.9,8KCAB,1,0,land at Harvey,0,0,0,0,0
4/20/2023,N824MZ,KBFI,KBFI,1.4,AEST,1,0,"practice BVS 29-RNAV, PWT 20-ILS",0,0,0,0,0
4/17/2023,N4242G,KPAE,KAPE,0.8,8KCAB,5,0,AWO,0,0,0,0,0
4/14/2023,N824MZ,KBFI,KBFI,0.8,AEST,1,0,land at PAE,0,0,0,0,0
3/7/2023,N4242G,KPAE,KPAE,1,8KCAB,5,0,refuel at OS9,0,0,0,0,0
2/15/2023,N824MZ,KBFI,KBFI,0.5,AEST,1,0,with Chounie & Rhys,0,0,0,0,0
1/28/2023,N248JP,FYWO,FYWE,0.8,C208,1,0,,0,0,0,0,0
1/26/2023,N248JP,FYWE,FYWO,0.8,C208,1,0,,0,0,0,0,0
1/26/2023,N248JP,FYSO,FYWE,0.8,C208,1,0,,0,0,0,0,0
1/23/2023,N248JP,FYWE,FYSO,0.8,C208,1,0,,0,0,0,0,0
1/22/2023,N248JP,FACT,FYWE,4.5,C208,1,0,,0,0,0,0,0
1/18/2023,N248JP,FATP,FACT,3,C208,1,0,,0,0,0,0,0
1/18/2023,N248JP,FASI,FATP,1.2,C208,1,0,,0,0,0,0,0
1/17/2023,N248JP,FASI,FASI,0.7,C208,4,0,Annual Trg with Johan van Zyl,0,0,0,0,0
1/4/2023,N824MZ,KCOE,KBFI,1.4,AEST,1,0,annual inspection,0,0,0,0,0
11/3/2022,N824MZ,KBOI,KCOE,1.5,AEST,1,1,"COE ILS-06, dropped off for annual insp.",0,0.5,0,0,0
10/31/2022,N824MZ,KDVT,KBOI,3,AEST,1,0,,0,0,0,0,0
10/31/2022,N824MZ,KFLG,KDVT,0.6,AEST,1,0,,0,0,0,0,0
10/20/2022,N824MZ,KDVT,KFLG,0.6,AEST,0,0,,0,0,0,0,0
10/19/2022,N824MZ,eko,dvt,2.5,AEST,1,0,,0,0,0,0,0
10/19/2022,N824MZ,KBFI,KEKO,2.5,AEST,1,0,"IFR, wiggled wires at EKO to restart left engine",0,0,0,0,0
10/19/2022,N824MZ,KEKO,KDVT,2.5,AEST,0,0,,0,0,0,0,0
10/12/2022,N4242G,OS9,KPAE,0.4,8KCAB,1,0,,0,0,0,0,0
10/12/2022,N4242G,KPAE,OS9,0.6,8KCAB,4,0,"T&G's at OS9, refuel",0,0,0,0,0
10/9/2022,N4242G,OS9,KPAE,0.4,8KCAB,1,0,new fuel tank & annual at Port Townsend Museum,0,0,0,0,0
9/24/2022,N824MZ,KBFI,KBFI,1,AEST,1,0,"practice PWT ILS-20 , Hold at Caro",0,0,0,0,0
8/13/2022,N4242G,KPAE,OS9,0.5,8KCAB,1,0,,0,0,0,0,0
8/1/2022,N824MZ,KHLN,KBFI,2.2,AEST,1,0,,0,0,0,0,0
7/31/2022,N824MZ,KRAP,KHLN,2.1,AEST,1,0,,0,0,0,0,0
7/31/2022,N824MZ,KRST,KRAP,2.4,AEST,1,0,,0,0,0,0,0
7/31/2022,N824MZ,KATW,KRST,1.2,AEST,1,0,,0,0,0,0,0
7/28/2022,N824MZ,KDPA,KATW,1,AEST,1,0,"circle over Little Chute, steep approach",0,0,0,0,0
7/28/2022,N824MZ,KTNU,KDPA,1,AEST,2,0,turn back for protruding strap,0,0,0,0,0
7/27/2022,N824MZ,KCHT,KTNU,0.8,AEST,1,0,,0,0,0,0,0
7/27/2022,N824MZ,KCID,KCHT,1,AEST,1,0,IFR out of CID,0,0.1,0,0,0
7/25/2022,N824MZ,KPWK,KCID,1,AEST,1,0,,0,0,0,0,0
7/23/2022,N824MZ,KPIR,KPWK,2,AEST,1,0,,0,0,0,0,0
7/23/2022,N824MZ,KBZN,KPIR,2.2,AEST,1,0,,0,0,0,0,0
7/23/2022,N824MZ,KBFI,KBZN,2,AEST,1,0,,0,0.2,0,0,0
7/14/2022,N824MZ,KSJC,KBFI,2.7,AEST,1,0,,0,0,0,0,0
7/14/2022,N824MZ,KBFI,KSJC,3,AEST,1,0,,0,0,0,0,0
7/10/2022,N4242G,KPAE,KPAE,1,8KCAB,5,0,"T&G KBVS, refuel KAWO",0,0,0,0,0
7/9/2022,N824MZ,KBFI,KBFI,1.3,AEST,1,0,"simulated apr at KPWT, KBVS",0,0,0,0,0
6/27/2022,N824MZ,KBFI,KBFI,0.8,AEST,2,0,land at AWO,0,0,0,0,0
6/3/2022,N248JP,FAMG,FASI,1.8,C208,1,0,via Crab Apple/Kilgobbin,0,0,0,0,0
5/30/2022,N248JP,FAKN,FAMG,1.8,C208,1,0,,0,0,0,0,0
5/30/2022,N248JP,FVCZ,FAKN,2.2,C208,1,0,"low clouds at FAKN, delayed landing",0,0,0,0,0
5/30/2022,N248JP,FVMH,FVCZ,0.5,C208,1,0,,0,0,0,0,0
5/27/2022,N248JP,FVRG,FVMH,1.2,C208,1,0,,0,0,0,0,0
5/22/2022,N248JP,FLHN,FVRG,1.8,C208,1,0,,0,0,0,0,0
5/22/2022,N248JP,PLAINS,FLHN,1.8,C208,1,0,,0,0,0,0,0
5/19/2022,N248JP,FLHP,PLAINS,0.5,C208,1,0,Busanga Plains,0,0,0,0,0
5/16/2022,N248JP,FLHN,FLHP,1.7,C208,1,0,,0,0,0,0,0
5/16/2022,N248JP,FYWE,FLHN,3.7,C208,1,0,,0,0,0,0,0
5/15/2022,N248JP,FYSO,FYWE,0.7,C208,1,0,,0,0,0,0,0
5/13/2022,N248JP,FYWE,FYSO,0.7,C208,1,0,,0,0,0,0,0
4/23/2022,N824MZ,KCOE,KBFI,1.1,AEST,1,1,BFI ILS-14Rxy,0,0,0,0,0
4/23/2022,N824MZ,KCOE,KCOE,1,AEST,1,2,"IPC with Hans Dyroy, COE ILS-06, Hold, RNAV-06, Steep turns",0,0,0,0,0
4/23/2022,N824MZ,KBFI,KCOE,1.1,AEST,1,1,COE ILS-06,0,0.2,0,0,0
4/17/2022,N824MZ,KBFI,KBFI,1.7,AEST,1,0,"practice PWT ILS20, CLM ILS08",0,0,0,0,0
4/7/2022,N824MZ,KBFI,KBFI,1.5,AEST,1,0,practice ILS @ PWT and CLM,0,0,0,0,0
4/6/2022,N4242G,KPAE,KPAE,0.7,8KCAB,4,0,t&g's at AWO,0,0,0,0,0
3/28/2022,N248JP,SANDFONTEIN,FYWE,2.9,C208,1,0,,0,0,0,0,0
3/26/2022,N248JP,HAAKIESDOORN,SANDFONTEIN,0.4,C208,1,0,,0,0,0,0,0
3/25/2022,N248JP,FYLZ,HAAKIESDOORN,1.2,C208,1,0,,0,0,0,0,0
3/25/2022,N248JP,FYSO,FYLZ,1.2,C208,1,0,,0,0,0,0,0
3/23/2022,N248JP,FYWE,FYSO,0.7,C208,1,0,,0,0,0,0,0
3/23/2022,N248JP,FYEA,FYWE,1.5,C208,1,0,,0,0,0,0,0
3/21/2022,N248JP,FYRC,FYEA,1.4,C208,1,0,Entendeka,0,0,0,0,0
3/21/2022,N248JP,FYOA,FYRC,0.7,C208,1,0,,0,0,0,0,0
3/21/2022,N248JP,FYBM,FYOA,1,C208,1,0,,0,0,0,0,0
3/20/2022,N248JP,FYWO,FYBM,0.8,C208,1,0,Ojikoto mine B2Gold,0,0,0,0,0
3/19/2022,N248JP,FYWE,FYWO,0.7,C208,1,0,,0,0,0,0,0
3/18/2022,N248JP,FALA,FYWE,3.8,C208,1,0,,0,0,0,0,0
3/18/2022,N248JP,FASI,FALA,0.5,C208,1,0,,0,0,0,0,0
3/17/2022,N248JP,FASI,FASI,0.4,C208,1,0,with Johan,0,0,0,0,0
3/17/2022,N248JP,FASI,FASI,0.4,C208,1,0,,0,0,0,0,0
3/6/2022,N824MZ,KBFI,KBFI,1.4,AEST,1,0,"practice NO GPS, manual appr and holds at PWT, CARRO",0,0,0,0,0
2/18/2022,N4242G,KPAE,KPAE,0.7,8KCAB,4,0,,0,0,0,0,0
2/6/2022,N824MZ,KCOE,KBFI,1.2,AEST,1,0,,0,0,0,0,0
1/28/2022,N4242G,KBVS,KPAE,0.4,8KCAB,1,0,,0,0,0,0,0
1/28/2022,N4242G,KPAE,KBVS,1,8KCAB,1,0,,0,0,0,0,0
1/27/2022,N824MZ,KBFI,KCOE,1.3,AEST,1,0,,0,0,0,0,0
1/9/2022,N4242G,KPAE,KPAE,1.3,8KCAB,2,0,,0,0,0,0,0
12/20/2021,N4242G,KPAE,KPAE,1,8KCAB,5,0,stop @ BVS,0,0,0,0,0
12/19/2021,N824MZ,KBFI,KBFI,1.8,AEST,2,0,"stop at BVS, simul RNAV at BVS, FHR",0,0,0,0,0
11/23/2021,N4242G,KPAE,KPAE,1,8KCAB,5,0,0S9 Jeffco,0,0,0,0,0
11/17/2021,N824MZ,KCOE,KBFI,1.3,AEST,1,0,,0,0,0,0,0
11/17/2021,N824MZ,KGEG,KCOE,0.3,AEST,1,0,,0,0,0,0,0
10/30/2021,N248JP,FALA,FASI,0.4,C208,1,0,,0,0,0,0,0
10/30/2021,N248JP,FLHN,FALA,3,C208,1,0,,0,0,0,0,0
10/30/2021,N248JP,FLAA,FLHN,2,C208,1,0,,0,0,0,0,0
10/29/2021,N248JP,FLMU,FLAA,0.5,C208,1,0,,0,0,0,0,0
10/27/2021,N248JP,FLAA,FLMU,0.5,C208,1,0,Mulembo,0,0,0,0,0
10/27/2021,N248JP,FLAA,FLMU,0.5,C208,1,0,"Mulembo, Kasanka",0,0,0,0,0
10/27/2021,N248JP,FLNG,FLAA,1.2,C208,1,0,Kawa,0,0,0,0,0
10/25/2021,N248JP,FLKK,FLNG,1.4,C208,1,0,Lunga,0,0,0,0,0
10/25/2021,N248JP,FLNG,FLKK,1.4,C208,1,0,,0,0,0,0,0
